Week,County,Sales
1/1/2011,ALBANY      ,32640
1/1/2011,ALLEGANY    ,3001
1/1/2011,BRONX       ,140665
1/1/2011,BROOME      ,17798
1/1/2011,CATTARAUGUS ,6476
1/1/2011,CAYUGA      ,7814
1/1/2011,CHAUTAUQUA  ,10475
1/1/2011,CHEMUNG     ,6662
1/1/2011,CHENANGO    ,4150
1/1/2011,CLINTON     ,5675
1/1/2011,COLUMBIA    ,7034
1/1/2011,CORTLAND    ,4040
1/1/2011,DELAWARE    ,5021
1/1/2011,DUTCHESS    ,36953
1/1/2011,ERIE        ,89377
1/1/2011,ESSEX       ,2924
1/1/2011,FRANKLIN    ,3508
1/1/2011,FULTON      ,5902
1/1/2011,GENESEE     ,5180
1/1/2011,GREENE      ,5629
1/1/2011,HAMILTON    ,430
1/1/2011,HERKIMER    ,5188
1/1/2011,JEFFERSON   ,8342
1/1/2011,KINGS       ,249893
1/1/2011,LEWIS       ,1758
1/1/2011,LIVINGSTON  ,5945
1/1/2011,MADISON     ,5550
1/1/2011,MONROE      ,83700
1/1/2011,MONTGOMERY  ,5914
1/1/2011,NASSAU      ,220729
1/1/2011,NEW YORK    ,247420
1/1/2011,NIAGARA     ,18407
1/1/2011,ONEIDA      ,20470
1/1/2011,ONONDAGA    ,46405
1/1/2011,ONTARIO     ,11802
1/1/2011,ORANGE      ,48443
1/1/2011,ORLEANS     ,3295
1/1/2011,OSWEGO      ,10748
1/1/2011,OTSEGO      ,4633
1/1/2011,PUTNAM      ,18026
1/1/2011,QUEENS      ,285880
1/1/2011,RENSSELAER  ,16035
1/1/2011,RICHMOND    ,70247
1/1/2011,ROCKLAND    ,51764
1/1/2011,SARATOGA    ,24026
1/1/2011,SCHENECTADY ,220633
1/1/2011,SCHOHARIE   ,2324
1/1/2011,SCHUYLER    ,1511
1/1/2011,SENECA      ,3107
1/1/2011,ST. LAWRENCE,8800
1/1/2011,STEUBEN     ,8325
1/1/2011,SUFFOLK     ,229578
1/1/2011,SULLIVAN    ,8419
1/1/2011,TIOGA       ,3714
1/1/2011,TOMPKINS    ,6729
1/1/2011,ULSTER      ,19973
1/1/2011,WARREN      ,8399
1/1/2011,WASHINGTON  ,4856
1/1/2011,WAYNE       ,8628
1/1/2011,WESTCHESTER ,140427
1/1/2011,WYOMING     ,3499
1/1/2011,YATES       ,1612
1/8/2011,ALBANY      ,32634
1/8/2011,ALLEGANY    ,2918
1/8/2011,BRONX       ,152223
1/8/2011,BROOME      ,17681
1/8/2011,CATTARAUGUS ,6941
1/8/2011,CAYUGA      ,7557
1/8/2011,CHAUTAUQUA  ,10359
1/8/2011,CHEMUNG     ,7276
1/8/2011,CHENANGO    ,4217
1/8/2011,CLINTON     ,5738
1/8/2011,COLUMBIA    ,6589
1/8/2011,CORTLAND    ,4221
1/8/2011,DELAWARE    ,4771
1/8/2011,DUTCHESS    ,37794
1/8/2011,ERIE        ,89151
1/8/2011,ESSEX       ,2772
1/8/2011,FRANKLIN    ,3564
1/8/2011,FULTON      ,5511
1/8/2011,GENESEE     ,5496
1/8/2011,GREENE      ,5449
1/8/2011,HAMILTON    ,431
1/8/2011,HERKIMER    ,4862
1/8/2011,JEFFERSON   ,8743
1/8/2011,KINGS       ,279015
1/8/2011,LEWIS       ,1901
1/8/2011,LIVINGSTON  ,5892
1/8/2011,MADISON     ,5829
1/8/2011,MONROE      ,81606
1/8/2011,MONTGOMERY  ,5471
1/8/2011,NASSAU      ,241856
1/8/2011,NEW YORK    ,285165
1/8/2011,NIAGARA     ,18354
1/8/2011,ONEIDA      ,21017
1/8/2011,ONONDAGA    ,46833
1/8/2011,ONTARIO     ,11316
1/8/2011,ORANGE      ,50383
1/8/2011,ORLEANS     ,3373
1/8/2011,OSWEGO      ,10510
1/8/2011,OTSEGO      ,4714
1/8/2011,PUTNAM      ,17940
1/8/2011,QUEENS      ,313009
1/8/2011,RENSSELAER  ,16396
1/8/2011,RICHMOND    ,76449
1/8/2011,ROCKLAND    ,51974
1/8/2011,SARATOGA    ,22796
1/8/2011,SCHENECTADY ,220594
1/8/2011,SCHOHARIE   ,2278
1/8/2011,SCHUYLER    ,1403
1/8/2011,SENECA      ,3175
1/8/2011,ST. LAWRENCE,9087
1/8/2011,STEUBEN     ,8467
1/8/2011,SUFFOLK     ,250825
1/8/2011,SULLIVAN    ,8376
1/8/2011,TIOGA       ,4072
1/8/2011,TOMPKINS    ,6785
1/8/2011,ULSTER      ,19969
1/8/2011,WARREN      ,7782
1/8/2011,WASHINGTON  ,4881
1/8/2011,WAYNE       ,8789
1/8/2011,WESTCHESTER ,149214
1/8/2011,WYOMING     ,3440
1/8/2011,YATES       ,1527
1/15/2011,ALBANY      ,25971
1/15/2011,ALLEGANY    ,2360
1/15/2011,BRONX       ,126570
1/15/2011,BROOME      ,14683
1/15/2011,CATTARAUGUS ,5306
1/15/2011,CAYUGA      ,6676
1/15/2011,CHAUTAUQUA  ,9140
1/15/2011,CHEMUNG     ,6182
1/15/2011,CHENANGO    ,3368
1/15/2011,CLINTON     ,4985
1/15/2011,COLUMBIA    ,5657
1/15/2011,CORTLAND    ,3430
1/15/2011,DELAWARE    ,4140
1/15/2011,DUTCHESS    ,32022
1/15/2011,ERIE        ,76433
1/15/2011,ESSEX       ,2430
1/15/2011,FRANKLIN    ,2963
1/15/2011,FULTON      ,4636
1/15/2011,GENESEE     ,4424
1/15/2011,GREENE      ,4720
1/15/2011,HAMILTON    ,350
1/15/2011,HERKIMER    ,4240
1/15/2011,JEFFERSON   ,6731
1/15/2011,KINGS       ,229357
1/15/2011,LEWIS       ,1591
1/15/2011,LIVINGSTON  ,4729
1/15/2011,MADISON     ,4930
1/15/2011,MONROE      ,64453
1/15/2011,MONTGOMERY  ,4625
1/15/2011,NASSAU      ,197959
1/15/2011,NEW YORK    ,222476
1/15/2011,NIAGARA     ,15793
1/15/2011,ONEIDA      ,17566
1/15/2011,ONONDAGA    ,40236
1/15/2011,ONTARIO     ,9325
1/15/2011,ORANGE      ,42092
1/15/2011,ORLEANS     ,2801
1/15/2011,OSWEGO      ,8778
1/15/2011,OTSEGO      ,4101
1/15/2011,PUTNAM      ,15192
1/15/2011,QUEENS      ,253922
1/15/2011,RENSSELAER  ,13144
1/15/2011,RICHMOND    ,64511
1/15/2011,ROCKLAND    ,42409
1/15/2011,SARATOGA    ,17827
1/15/2011,SCHENECTADY ,217201
1/15/2011,SCHOHARIE   ,1799
1/15/2011,SCHUYLER    ,1177
1/15/2011,SENECA      ,2712
1/15/2011,ST. LAWRENCE,7086
1/15/2011,STEUBEN     ,6829
1/15/2011,SUFFOLK     ,202380
1/15/2011,SULLIVAN    ,7515
1/15/2011,TIOGA       ,3558
1/15/2011,TOMPKINS    ,5567
1/15/2011,ULSTER      ,17631
1/15/2011,WARREN      ,8187
1/15/2011,WASHINGTON  ,4033
1/15/2011,WAYNE       ,7071
1/15/2011,WESTCHESTER ,121710
1/15/2011,WYOMING     ,2843
1/15/2011,YATES       ,1317
1/22/2011,ALBANY      ,26240
1/22/2011,ALLEGANY    ,2416
1/22/2011,BRONX       ,127969
1/22/2011,BROOME      ,14955
1/22/2011,CATTARAUGUS ,5251
1/22/2011,CAYUGA      ,6809
1/22/2011,CHAUTAUQUA  ,9256
1/22/2011,CHEMUNG     ,6237
1/22/2011,CHENANGO    ,3528
1/22/2011,CLINTON     ,4978
1/22/2011,COLUMBIA    ,5514
1/22/2011,CORTLAND    ,3419
1/22/2011,DELAWARE    ,4142
1/22/2011,DUTCHESS    ,31223
1/22/2011,ERIE        ,78277
1/22/2011,ESSEX       ,2284
1/22/2011,FRANKLIN    ,3189
1/22/2011,FULTON      ,4621
1/22/2011,GENESEE     ,4519
1/22/2011,GREENE      ,4585
1/22/2011,HAMILTON    ,364
1/22/2011,HERKIMER    ,4424
1/22/2011,JEFFERSON   ,6964
1/22/2011,KINGS       ,231655
1/22/2011,LEWIS       ,1551
1/22/2011,LIVINGSTON  ,4695
1/22/2011,MADISON     ,5045
1/22/2011,MONROE      ,68016
1/22/2011,MONTGOMERY  ,4844
1/22/2011,NASSAU      ,202362
1/22/2011,NEW YORK    ,226194
1/22/2011,NIAGARA     ,16134
1/22/2011,ONEIDA      ,18119
1/22/2011,ONONDAGA    ,41461
1/22/2011,ONTARIO     ,9451
1/22/2011,ORANGE      ,42049
1/22/2011,ORLEANS     ,2845
1/22/2011,OSWEGO      ,9008
1/22/2011,OTSEGO      ,4341
1/22/2011,PUTNAM      ,15418
1/22/2011,QUEENS      ,256713
1/22/2011,RENSSELAER  ,13580
1/22/2011,RICHMOND    ,65879
1/22/2011,ROCKLAND    ,41674
1/22/2011,SARATOGA    ,18500
1/22/2011,SCHENECTADY ,217574
1/22/2011,SCHOHARIE   ,1876
1/22/2011,SCHUYLER    ,1253
1/22/2011,SENECA      ,2781
1/22/2011,ST. LAWRENCE,7511
1/22/2011,STEUBEN     ,7055
1/22/2011,SUFFOLK     ,210510
1/22/2011,SULLIVAN    ,7403
1/22/2011,TIOGA       ,3594
1/22/2011,TOMPKINS    ,5812
1/22/2011,ULSTER      ,17440
1/22/2011,WARREN      ,6699
1/22/2011,WASHINGTON  ,4214
1/22/2011,WAYNE       ,7385
1/22/2011,WESTCHESTER ,124813
1/22/2011,WYOMING     ,2908
1/22/2011,YATES       ,1433
1/29/2011,ALBANY      ,28261
1/29/2011,ALLEGANY    ,2399
1/29/2011,BRONX       ,125925
1/29/2011,BROOME      ,15429
1/29/2011,CATTARAUGUS ,5346
1/29/2011,CAYUGA      ,6819
1/29/2011,CHAUTAUQUA  ,9414
1/29/2011,CHEMUNG     ,6459
1/29/2011,CHENANGO    ,3310
1/29/2011,CLINTON     ,5029
1/29/2011,COLUMBIA    ,6165
1/29/2011,CORTLAND    ,3416
1/29/2011,DELAWARE    ,4197
1/29/2011,DUTCHESS    ,32044
1/29/2011,ERIE        ,78308
1/29/2011,ESSEX       ,2432
1/29/2011,FRANKLIN    ,3272
1/29/2011,FULTON      ,5071
1/29/2011,GENESEE     ,4667
1/29/2011,GREENE      ,5430
1/29/2011,HAMILTON    ,324
1/29/2011,HERKIMER    ,4202
1/29/2011,JEFFERSON   ,7022
1/29/2011,KINGS       ,224566
1/29/2011,LEWIS       ,1516
1/29/2011,LIVINGSTON  ,4802
1/29/2011,MADISON     ,4696
1/29/2011,MONROE      ,68804
1/29/2011,MONTGOMERY  ,5132
1/29/2011,NASSAU      ,198215
1/29/2011,NEW YORK    ,224813
1/29/2011,NIAGARA     ,16595
1/29/2011,ONEIDA      ,18179
1/29/2011,ONONDAGA    ,41166
1/29/2011,ONTARIO     ,9669
1/29/2011,ORANGE      ,43165
1/29/2011,ORLEANS     ,2878
1/29/2011,OSWEGO      ,9120
1/29/2011,OTSEGO      ,4442
1/29/2011,PUTNAM      ,15485
1/29/2011,QUEENS      ,252114
1/29/2011,RENSSELAER  ,14323
1/29/2011,RICHMOND    ,63899
1/29/2011,ROCKLAND    ,42289
1/29/2011,SARATOGA    ,19751
1/29/2011,SCHENECTADY ,218762
1/29/2011,SCHOHARIE   ,2036
1/29/2011,SCHUYLER    ,1268
1/29/2011,SENECA      ,2837
1/29/2011,ST. LAWRENCE,7082
1/29/2011,STEUBEN     ,7265
1/29/2011,SUFFOLK     ,208963
1/29/2011,SULLIVAN    ,7805
1/29/2011,TIOGA       ,3666
1/29/2011,TOMPKINS    ,6077
1/29/2011,ULSTER      ,18544
